,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
228,LZB,La-Z-Boy Incorporated,32.03,+0.22,+0.69%,"232,849","313,930",1.483B,19.30
229,REAL,"The RealReal, Inc.",16.83,-0.04,-0.24%,1.562M,2.228M,1.475B,N/A
230,SBH,"Sally Beauty Holdings, Inc.",12.96,+0.05,+0.39%,"810,649",1.671M,1.463B,13.51
231,THRM,Gentherm Incorporated,44.50,+0.14,+0.32%,"70,508","151,833",1.453B,52.17
232,VSTO,Vista Outdoor Inc.,22.55,+0.33,+1.49%,"893,619",1.498M,1.309B,N/A
233,MSC,Studio City International Holdings Limited,16.73,-0.27,-1.57%,643,"1,401",1.315B,N/A
234,KTB,"Kontoor Brands, Inc.",22.24,+0.52,+2.39%,"286,424",1.33M,1.27B,173.75
235,SNBR,Sleep Number Corporation,45.78,-0.16,-0.35%,"233,209","497,946",1.269B,16.86
236,GHG,GreenTree Hospitality Group Ltd.,12.35,-0.36,-2.83%,"122,533","110,641",1.262B,23.75
237,MHO,"M/I Homes, Inc.",43.64,-0.03,-0.07%,"216,965","309,909",1.246B,7.61
238,CCS,"Century Communities, Inc.",37.14,-0.10,-0.27%,"178,294","407,757",1.239B,8.38
239,CAKE,The Cheesecake Factory Incorporated,27.18,+0.18,+0.67%,"972,364",3.259M,1.236B,N/A
240,MIK,"The Michaels Companies, Inc.",8.36,+0.19,+2.39%,2.651M,5.082M,1.232B,7.35
241,VNE,"Veoneer, Inc.",11.01,+0.04,+0.36%,"235,993","424,925",1.229B,N/A
242,BLMN,"Bloomin' Brands, Inc.",12.97,+0.16,+1.25%,1.802M,3.673M,1.135B,N/A
243,ODP,The ODP Corporation,21.08,+0.82,+4.05%,"440,048","848,322",1.11B,N/A
244,HOME,At Home Group Inc.,16.85,+0.34,+2.06%,1.637M,4.202M,1.082B,N/A
245,SMP,"Standard Motor Products, Inc.",47.44,-0.30,-0.63%,"100,105","139,222",1.06B,23.51
246,JMIA,Jumia Technologies AG,13.47,-0.28,-2.04%,5.123M,8.156M,1.056B,N/A
247,PLOW,"Douglas Dynamics, Inc.",40.17,+0.07,+0.17%,"56,104","134,292",918.186M,N/A
248,AXL,"American Axle & Manufacturing Holdings, Inc.",7.95,+0.01,+0.13%,1.218M,2.038M,900.52M,N/A
249,DIN,"Dine Brands Global, Inc.",54.47,+0.96,+1.79%,"536,500","875,279",894.348M,N/A
250,BKE,"The Buckle, Inc.",17.62,+0.29,+1.67%,"271,464","616,249",870.573M,11.10
251,JOUT,Johnson Outdoors Inc.,85.78,-1.87,-2.13%,"16,861","38,404",865.074M,19.86
252,GES,"Guess', Inc.",12.66,+0.20,+1.61%,"637,598",1.647M,855.85M,N/A
253,ACEL,"Accel Entertainment, Inc.",10.17,+0.44,+4.52%,"345,308","522,131",872.097M,N/A
254,TEN,Tenneco Inc.,10.07,+0.64,+6.79%,1.409M,1.562M,818.311M,N/A
255,OXM,"Oxford Industries, Inc.",48.39,+0.49,+1.02%,"88,901","190,553",808.984M,N/A
256,MCRI,"Monarch Casino & Resort, Inc.",44.14,+0.16,+0.36%,"45,020","103,533",802.889M,62.70
257,TRWH,"Twin River Worldwide Holdings, Inc.",25.58,-0.25,-0.97%,"153,769","232,328",779.077M,N/A
258,SIG,Signet Jewelers Limited,14.80,+0.48,+3.35%,1.312M,2.432M,774.377M,N/A
259,BOOT,"Boot Barn Holdings, Inc.",25.35,+0.20,+0.80%,1.093M,1.092M,731.497M,19.58
