,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
59,VRSN,"VeriSign, Inc.",207.29,-3.01,-1.43%,"470,178","650,636",23.808B,30.77
60,MRVL,Marvell Technology Group Ltd.,33.57,-1.13,-3.26%,12.303M,8.916M,22.334B,15.00
61,CRWD,"CrowdStrike Holdings, Inc.",101.25,+0.36,+0.36%,3.416M,6.598M,21.869B,N/A
62,FTNT,"Fortinet, Inc.",127.60,+0.16,+0.13%,"854,340",1.63M,20.65B,53.43
63,FLT,"FLEETCOR Technologies, Inc.",240.28,+5.65,+2.41%,"962,380","760,857",20.196B,27.86
64,GRMN,Garmin Ltd.,104.28,-0.35,-0.33%,"607,871",1.028M,19.941B,21.38
65,KEYS,"Keysight Technologies, Inc.",102.95,-0.25,-0.24%,1.171M,1.815M,19.255B,33.40
66,COUP,Coupa Software Incorporated,285.89,-3.84,-1.33%,"347,566",1.657M,19.176B,N/A
67,CAJ,Canon Inc.,17.86,+0.16,+0.90%,"275,889","510,698",18.637B,9.01
68,MXIM,"Maxim Integrated Products, Inc.",68.60,-0.80,-1.15%,2.723M,3.39M,18.295B,28.46
69,GIB,CGI Inc.,69.21,-0.68,-0.97%,"192,606","211,876",17.91B,23.31
70,AKAM,"Akamai Technologies, Inc.",107.90,-1.33,-1.22%,"948,874",1.802M,17.556B,32.70
71,PAYC,"Paycom Software, Inc.",303.07,+1.19,+0.39%,"703,630","647,477",17.74B,100.42
72,CHKP,Check Point Software Technologies Ltd.,123.95,-0.94,-0.75%,"579,353",1.084M,17.378B,21.86
73,EPAM,"EPAM Systems, Inc.",307.97,-0.75,-0.24%,"130,015","340,057",17.201B,60.76
74,CTXS,"Citrix Systems, Inc.",136.35,-1.05,-0.76%,"706,611",1.753M,16.844B,22.97
75,CDW,CDW Corporation,113.52,-1.06,-0.93%,"533,088","897,812",16.196B,22.20
76,ANET,"Arista Networks, Inc.",212.67,-3.64,-1.68%,"691,013","694,133",16.168B,22.61
77,ZS,"Zscaler, Inc.",122.89,+0.82,+0.67%,3.389M,3.455M,16.039B,N/A
78,WORK,"Slack Technologies, Inc.",28.36,+0.12,+0.42%,4.757M,19.666M,15.986B,N/A
