,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
190,MIC,Macquarie Infrastructure Corporation,30.94,+0.03,+0.10%,"466,883","770,623",2.692B,34.34
191,CWST,"Casella Waste Systems, Inc.",55.24,-0.41,-0.74%,"101,127","275,311",2.672B,78.02
192,IBP,"Installed Building Products, Inc.",87.13,-1.76,-1.98%,"210,178","240,979",2.596B,31.81
193,AIMC,Altra Industrial Motion Corp.,40.13,-0.31,-0.77%,"140,151","357,968",2.595B,N/A
194,GTLS,"Chart Industries, Inc.",72.05,-0.21,-0.29%,"334,637","487,953",2.593B,43.40
195,BBU,Brookfield Business Partners L.P.,32.24,+0.25,+0.78%,"13,083","30,723",2.604B,N/A
196,BRC,Brady Corporation,49.61,-0.30,-0.60%,"127,935","211,819",2.578B,22.05
197,KMT,Kennametal Inc.,30.98,+0.41,+1.34%,"404,614","738,120",2.569B,N/A
198,ABM,ABM Industries Incorporated,37.84,-0.57,-1.48%,"240,808","490,122",2.523B,N/A
199,TRN,"Trinity Industries, Inc.",21.06,+0.14,+0.67%,"416,559",1.018M,2.499B,103.24
200,APG,APi Group Corporation,14.67,+0.22,+1.52%,"755,728",2.006M,2.484B,N/A
201,AIT,"Applied Industrial Technologies, Inc.",63.29,-0.86,-1.34%,"162,948","189,525",2.45B,102.08
202,AQUA,Evoqua Water Technologies Corp.,20.86,+0.05,+0.24%,"576,269","719,580",2.44B,29.46
203,HI,"Hillenbrand, Inc.",32.73,-0.10,-0.30%,"416,237","471,271",2.446B,N/A
204,KTOS,"Kratos Defense & Security Solutions, Inc.",19.89,+0.65,+3.35%,2.225M,1.452M,2.44B,462.44
205,ARNC,Arconic Corporation,22.10,-0.03,-0.14%,"610,000",1.743M,2.41B,16.39
206,KRNT,Kornit Digital Ltd.,58.68,+0.09,+0.15%,"179,565","388,033",2.402B,N/A
207,BCO,The Brink's Company,46.91,-0.13,-0.28%,"250,172","691,193",2.37B,141.30
208,WCC,"WESCO International, Inc.",47.36,+0.20,+0.42%,1.551M,1.272M,2.398B,17.20
209,SPR,"Spirit AeroSystems Holdings, Inc.",22.40,+0.56,+2.56%,4.32M,5.862M,2.366B,N/A
210,GATX,GATX Corporation,66.97,+1.28,+1.95%,"135,777","252,833",2.344B,12.72
211,TRTN,Triton International Limited,34.00,+0.82,+2.47%,"259,832","488,065",2.336B,8.38
212,TRTN-PA,Triton International Limited,25.67,+0.17,+0.68%,"6,966","8,780",2.33B,6.33
213,JELD,"JELD-WEN Holding, Inc.",23.20,-0.18,-0.77%,"422,400","743,728",2.333B,49.36
214,GSH,Guangshen Railway Company Limited,10.19,-0.08,-0.78%,"12,618","25,326",2.381B,8.86
215,DOOR,Masonite International Corporation,92.69,-0.28,-0.30%,"177,213","200,815",2.27B,28.93
216,BMCH,"BMC Stock Holdings, Inc.",33.83,+0.19,+0.56%,"329,000","416,161",2.269B,19.11
217,ROCK,"Gibraltar Industries, Inc.",68.77,+0.31,+0.45%,"211,620","198,893",2.23B,28.79
218,ACA,"Arcosa, Inc.",45.12,+0.20,+0.45%,"128,489","292,693",2.181B,18.49
219,BECN,"Beacon Roofing Supply, Inc.",31.45,-0.19,-0.60%,"332,527","513,165",2.179B,N/A
220,CAR,"Avis Budget Group, Inc.",31.23,+0.04,+0.13%,1.577M,5.815M,2.176B,N/A
221,MOG-B,Moog Inc.,61.75,0.00,0.00%,82,128,2.004B,15.33
222,CPA,"Copa Holdings, S.A.",50.11,+1.09,+2.22%,"339,672","774,034",2.122B,N/A
223,R,"Ryder System, Inc.",39.34,+0.27,+0.69%,"533,068","761,503",2.117B,N/A
224,B,Barnes Group Inc.,40.94,-0.03,-0.07%,"145,726","241,547",2.069B,17.93
225,SPXC,SPX Corporation,45.03,+0.01,+0.02%,"146,347","219,242",2.012B,20.05
226,MOG-A,Moog Inc.,61.84,+0.39,+0.63%,"83,473","213,826",2.025B,15.36
227,FSS,Federal Signal Corporation,32.56,-0.01,-0.03%,"145,809","302,596",1.967B,19.47
228,AVAV,"AeroVironment, Inc.",81.33,+0.43,+0.53%,"87,068","222,330",1.957B,47.59
229,BMI,"Badger Meter, Inc.",66.82,-0.65,-0.96%,"78,841","142,874",1.946B,42.29
230,EAF,GrafTech International Ltd.,7.28,+0.21,+2.97%,"849,972",1.561M,1.945B,3.58
231,FIX,"Comfort Systems USA, Inc.",53.03,-0.24,-0.45%,"156,151","280,734",1.934B,15.36
232,ALGT,Allegiant Travel Company,118.40,+0.34,+0.29%,"109,976","288,612",1.923B,N/A
233,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",39.34,+1.58,+4.18%,"61,763","135,480",1.908B,14.55
234,FLOW,"SPX FLOW, Inc.",44.87,+0.10,+0.22%,"104,773","212,569",1.904B,N/A
235,BE,Bloom Energy Corporation,14.17,-0.24,-1.67%,3.972M,4.612M,1.878B,N/A
236,HUBG,"Hub Group, Inc.",52.96,+0.01,+0.02%,"191,236","270,009",1.81B,21.99
237,UPWK,Upwork Inc.,14.79,-0.22,-1.47%,1.25M,2.962M,1.779B,N/A
238,MLI,"Mueller Industries, Inc.",31.04,+0.09,+0.29%,"120,774","255,758",1.763B,14.92
239,RCII,"Rent-A-Center, Inc.",32.53,+0.65,+2.04%,"657,948","497,309",1.751B,11.41
240,MWA,"Mueller Water Products, Inc.",11.08,+0.03,+0.27%,"536,617","813,925",1.749B,20.52
241,MATX,"Matson, Inc.",40.13,+0.09,+0.22%,"209,748","263,069",1.729B,19.68
242,REZI,"Resideo Technologies, Inc.",13.86,-0.01,-0.07%,"601,269",1.972M,1.711B,N/A
243,KFY,Korn Ferry,31.19,+0.55,+1.80%,"326,143","415,550",1.755B,16.45
244,HTLD,"Heartland Express, Inc.",20.72,-0.07,-0.34%,"230,138","427,607",1.686B,25.80
245,FWRD,Forward Air Corporation,58.65,+0.14,+0.24%,"120,317","163,366",1.641B,29.03
246,MGRC,McGrath RentCorp,67.47,-0.02,-0.03%,"84,465","111,528",1.625B,16.34
247,FLR,Fluor Corporation,11.50,-0.18,-1.54%,1.21M,2.613M,1.612B,N/A
248,ATSG,"Air Transport Services Group, Inc.",26.97,-0.34,-1.24%,"236,022","543,095",1.607B,27.58
249,BDC,Belden Inc.,35.97,-0.03,-0.08%,"201,103","387,925",1.603B,N/A
250,SKYW,"SkyWest, Inc.",31.56,+0.90,+2.94%,"376,458","623,388",1.584B,9.51
251,SAVE,"Spirit Airlines, Inc.",17.76,+0.21,+1.20%,5.219M,24.708M,1.575B,N/A
252,AAWW,"Atlas Air Worldwide Holdings, Inc.",60.08,0.00,0.00%,"501,890","518,974",1.57B,N/A
253,AMRC,"Ameresco, Inc.",31.05,-0.84,-2.63%,"190,058","358,453",1.482B,35.85
254,FTAI,Fortress Transportation and Infrastructure Investors LLC,17.27,+0.62,+3.72%,"251,009","529,353",1.479B,7.79
255,DY,"Dycom Industries, Inc.",46.58,-1.25,-2.61%,"344,666","489,925",1.474B,142.01
256,MLHR,"Herman Miller, Inc.",24.99,+0.28,+1.13%,"420,164","720,311",1.471B,N/A
257,ATKR,Atkore International Group Inc.,30.77,-0.38,-1.22%,"134,759","303,709",1.452B,10.54
258,TEX,Terex Corporation,20.96,+0.23,+1.11%,"406,397","922,785",1.453B,124.76
